"id","ALUMNOS","ESPAÑOL","MATEMATICAS","INGLES","CIENCIAS_NATURALES","HISTORIA","EDUCACION_FISICA","ARTES","TECNOLOGIA","NUM_FALTAS","PARTICIPACIONES","RENDIMIENTO"
640,"María García Torres",66.0,68.0,67.0,66.0,65.0,71.0,60.0,63.0,5,2,"Deficiente"
641,"Jorge Jiménez Pérez",86.0,88.0,87.0,85.0,83.0,90.0,78.0,82.0,2,5,"Bueno"
642,"Laura López Ramírez",75.0,77.0,76.0,74.0,73.0,79.0,69.0,71.0,4,4,"Regular"
643,"Ricardo Fernández Jiménez",92.0,95.0,94.0,93.0,91.0,96.0,85.0,89.0,1,6,"Muy Bueno"
644,"Ana Pérez García",68.0,70.0,69.0,68.0,66.0,73.0,60.0,64.0,5,3,"Deficiente"
645,"Sofía Ramírez Fernández",85.0,89.0,88.0,87.0,85.0,91.0,79.0,84.0,2,5,"Bueno"
646,"David Torres Jiménez",76.0,79.0,78.0,76.0,75.0,81.0,68.0,72.0,3,4,"Regular"
647,"Carla Fernández López",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
648,"Pablo García Ramírez",67.0,69.0,68.0,67.0,65.0,71.0,60.0,63.0,5,3,"Deficiente"
649,"Javier Jiménez Pérez",85.0,88.0,87.0,86.0,84.0,90.0,78.0,82.0,2,5,"Bueno"
650,"Patricia López Fernández",74.0,76.0,75.0,77.0,73.0,79.0,68.0,71.0,4,4,"Regular"
651,"Carlos Ramírez Torres",92.0,95.0,94.0,93.0,90.0,96.0,85.0,89.0,1,6,"Muy Bueno"
652,"Lucía Pérez Jiménez",67.0,69.0,68.0,66.0,65.0,71.0,60.0,63.0,5,2,"Deficiente"
653,"Alejandro Fernández González",85.0,89.0,88.0,87.0,85.0,91.0,79.0,83.0,2,5,"Bueno"
654,"Sara García Ramírez",74.0,77.0,76.0,75.0,73.0,79.0,69.0,72.0,4,4,"Regular"
655,"Andrés Jiménez López",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
656,"Cristina Ramírez Torres",68.0,71.0,70.0,69.0,67.0,74.0,60.0,65.0,5,3,"Deficiente"
657,"José Pérez González",86.0,89.0,88.0,87.0,85.0,91.0,79.0,84.0,2,5,"Bueno"
658,"Elena López García",75.0,78.0,77.0,76.0,74.0,80.0,69.0,72.0,4,4,"Regular"
659,"Miguel Fernández Jiménez",90.0,93.0,92.0,91.0,88.0,95.0,83.0,87.0,1,6,"Muy Bueno"
660,"Claudia Torres Ramírez",68.0,70.0,69.0,68.0,66.0,73.0,60.0,64.0,5,2,"Deficiente"
661,"Diego García Pérez",86.0,89.0,88.0,87.0,85.0,90.0,79.0,83.0,2,5,"Bueno"
662,"Patricia Jiménez Fernández",75.0,77.0,76.0,74.0,73.0,79.0,69.0,71.0,4,4,"Regular"
663,"Raúl Ramírez González",92.0,95.0,94.0,93.0,90.0,96.0,85.0,89.0,1,6,"Muy Bueno"
664,"María Fernández Pérez",67.0,69.0,68.0,67.0,65.0,72.0,60.0,63.0,5,3,"Deficiente"
665,"Andrés Jiménez García",86.0,89.0,88.0,87.0,85.0,91.0,79.0,83.0,2,5,"Bueno"
666,"Laura López Torres",75.0,78.0,77.0,76.0,74.0,80.0,69.0,72.0,4,4,"Regular"
667,"Ricardo Ramírez Jiménez",92.0,95.0,94.0,93.0,90.0,96.0,85.0,89.0,1,6,"Muy Bueno"
668,"Ana Pérez González",68.0,70.0,69.0,68.0,66.0,73.0,60.0,64.0,5,2,"Deficiente"
669,"Sofía García Ramírez",85.0,89.0,88.0,87.0,85.0,91.0,79.0,84.0,2,5,"Bueno"
670,"David Fernández Jiménez",74.0,77.0,76.0,75.0,73.0,79.0,69.0,72.0,4,4,"Regular"
671,"Carla Jiménez López",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
672,"Pablo Torres Ramírez",67.0,69.0,68.0,67.0,65.0,71.0,60.0,63.0,5,3,"Deficiente"
673,"Javier Pérez González",85.0,88.0,87.0,86.0,84.0,90.0,78.0,82.0,2,5,"Bueno"
674,"Patricia López Jiménez",74.0,76.0,75.0,77.0,73.0,79.0,68.0,71.0,4,4,"Regular"
675,"Carlos Ramírez García",92.0,95.0,94.0,93.0,90.0,96.0,85.0,89.0,1,6,"Muy Bueno"
676,"Lucía Fernández Pérez",67.0,69.0,68.0,66.0,65.0,71.0,60.0,63.0,5,2,"Deficiente"
677,"Alejandro Jiménez Torres",85.0,89.0,88.0,87.0,85.0,91.0,79.0,83.0,2,5,"Bueno"
678,"Sara García López",74.0,77.0,76.0,75.0,73.0,79.0,69.0,72.0,4,4,"Regular"
679,"Andrés Ramírez Fernández",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
680,"José López García",78.0,82.0,80.0,75.0,79.0,81.0,70.0,73.0,3,6,"Bueno"
681,"Ana Pérez Gómez",68.0,70.0,72.0,67.0,66.0,71.0,62.0,64.0,5,4,"Deficiente"
682,"Carlos Hernández Díaz",90.0,93.0,91.0,89.0,87.0,95.0,85.0,88.0,2,6,"Muy Bueno"
683,"Marta Ramírez López",74.0,77.0,75.0,76.0,72.0,79.0,68.0,71.0,4,3,"Regular"
684,"Luis González Martínez",88.0,91.0,89.0,87.0,85.0,92.0,80.0,83.0,2,5,"Bueno"
685,"Sofía Martínez Rodríguez",82.0,85.0,84.0,80.0,78.0,83.0,72.0,77.0,3,4,"Regular"
686,"David Fernández Gómez",92.0,94.0,93.0,91.0,89.0,96.0,88.0,90.0,1,6,"Muy Bueno"
687,"Carmen López Sánchez",67.0,71.0,70.0,69.0,66.0,72.0,60.0,62.0,5,2,"Deficiente"
688,"Ricardo Rodríguez González",84.0,87.0,85.0,83.0,80.0,88.0,77.0,80.0,2,5,"Bueno"
689,"Laura Fernández Pérez",76.0,78.0,77.0,75.0,73.0,80.0,70.0,73.0,3,4,"Regular"
690,"Javier Gómez Ramírez",89.0,92.0,91.0,90.0,88.0,94.0,82.0,85.0,1,6,"Muy Bueno"
691,"Claudia Ramírez Torres",68.0,71.0,70.0,68.0,67.0,74.0,61.0,65.0,4,3,"Deficiente"
692,"Fernando López Martínez",86.0,89.0,88.0,86.0,84.0,91.0,80.0,82.0,2,5,"Bueno"
693,"Paola Gómez Ramírez",74.0,76.0,75.0,73.0,72.0,79.0,69.0,71.0,4,4,"Regular"
694,"Alejandro Sánchez Jiménez",91.0,93.0,92.0,90.0,89.0,95.0,83.0,86.0,1,6,"Muy Bueno"
695,"Elena Rodríguez Fernández",68.0,71.0,69.0,67.0,65.0,73.0,60.0,64.0,5,3,"Deficiente"
696,"Manuel García Ramírez",87.0,89.0,88.0,85.0,83.0,90.0,79.0,82.0,2,5,"Bueno"
697,"Andrea González López",75.0,77.0,76.0,74.0,73.0,81.0,68.0,71.0,4,4,"Regular"
698,"Santiago López Fernández",92.0,94.0,93.0,92.0,90.0,96.0,86.0,89.0,1,6,"Muy Bueno"
699,"Natalia Fernández Martínez",67.0,69.0,68.0,67.0,66.0,72.0,60.0,62.0,5,2,"Deficiente"
700,"Diego Ramírez López",85.0,88.0,87.0,85.0,84.0,91.0,80.0,83.0,2,5,"Bueno"
701,"Patricia Sánchez Gómez",74.0,76.0,75.0,77.0,73.0,78.0,68.0,71.0,4,4,"Regular"
702,"Juan González Torres",91.0,93.0,92.0,90.0,88.0,95.0,84.0,87.0,1,6,"Muy Bueno"
703,"Ana María López Ramírez",68.0,71.0,70.0,69.0,67.0,74.0,60.0,65.0,5,3,"Deficiente"
704,"Jorge Fernández Pérez",84.0,87.0,86.0,88.0,85.0,90.0,78.0,81.0,2,5,"Bueno"
705,"Gabriela Martínez García",73.0,76.0,75.0,74.0,72.0,79.0,67.0,70.0,4,4,"Regular"
706,"Tomás Ramírez Fernández",90.0,93.0,91.0,92.0,89.0,95.0,83.0,86.0,1,6,"Muy Bueno"
707,"Sofía Rodríguez Sánchez",67.0,69.0,68.0,67.0,66.0,72.0,60.0,63.0,5,2,"Deficiente"
708,"Luis Alberto López Ramírez",85.0,89.0,88.0,87.0,85.0,91.0,79.0,84.0,2,5,"Bueno"
709,"Claudia Pérez Ramírez",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
710,"José Eduardo Martínez",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
711,"Elena García López",68.0,71.0,70.0,69.0,67.0,74.0,60.0,64.0,5,3,"Deficiente"
712,"Ricardo Martínez Ramírez",87.0,89.0,88.0,85.0,84.0,90.0,79.0,82.0,2,5,"Bueno"
713,"Laura Sánchez González",76.0,78.0,77.0,75.0,73.0,81.0,70.0,73.0,3,4,"Regular"
714,"David López Ramírez",92.0,94.0,93.0,91.0,89.0,96.0,88.0,90.0,1,6,"Muy Bueno"
715,"Claudia Martínez Ramírez",67.0,69.0,68.0,67.0,66.0,71.0,60.0,62.0,5,2,"Deficiente"
716,"Fernando González Sánchez",85.0,89.0,88.0,87.0,85.0,91.0,79.0,83.0,2,5,"Bueno"
717,"Patricia Ramírez López",74.0,77.0,76.0,75.0,73.0,79.0,69.0,72.0,4,4,"Regular"
718,"Miguel Ángel Fernández",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
719,"Carmen López Martínez",68.0,71.0,70.0,69.0,67.0,74.0,60.0,64.0,5,3,"Deficiente"
720,"Andrés Sánchez Ramírez",86.0,89.0,88.0,85.0,83.0,90.0,79.0,84.0,2,5,"Bueno"
721,"Natalia Gómez Fernández",75.0,77.0,76.0,74.0,73.0,79.0,68.0,71.0,4,4,"Regular"
722,"Javier Ramírez González",92.0,94.0,93.0,91.0,90.0,96.0,85.0,89.0,1,6,"Muy Bueno"
723,"Gabriela López Pérez",67.0,69.0,68.0,66.0,65.0,71.0,60.0,62.0,5,3,"Deficiente"
724,"Ricardo Sánchez Jiménez",85.0,88.0,87.0,86.0,84.0,90.0,78.0,82.0,2,5,"Bueno"
725,"Ana Fernández González",74.0,76.0,75.0,77.0,73.0,78.0,68.0,71.0,4,4,"Regular"
726,"David García Ramírez",90.0,93.0,92.0,90.0,88.0,95.0,83.0,87.0,1,6,"Muy Bueno"
727,"Carmen Ramírez Pérez",68.0,71.0,69.0,68.0,66.0,73.0,60.0,64.0,5,2,"Deficiente"
728,"Luis Alberto Sánchez",84.0,87.0,86.0,85.0,84.0,90.0,78.0,81.0,2,5,"Bueno"
729,"Marta Pérez Ramírez",74.0,77.0,76.0,75.0,73.0,79.0,69.0,72.0,4,4,"Regular"
730,"José Luis Fernández",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
731,"Sofía López Martínez",68.0,71.0,70.0,69.0,67.0,74.0,60.0,65.0,5,3,"Deficiente"
732,"Diego Sánchez Ramírez",87.0,89.0,88.0,85.0,84.0,91.0,79.0,82.0,2,5,"Bueno"
733,"Ana María Ramírez",75.0,77.0,76.0,74.0,73.0,79.0,68.0,71.0,4,4,"Regular"
734,"Jorge López González",92.0,94.0,93.0,91.0,90.0,96.0,86.0,89.0,1,6,"Muy Bueno"
735,"Gabriela Sánchez Pérez",67.0,69.0,68.0,66.0,65.0,71.0,60.0,63.0,5,2,"Deficiente"
736,"Miguel Ángel Martínez",85.0,88.0,87.0,86.0,84.0,91.0,79.0,84.0,2,5,"Bueno"
737,"Natalia Ramírez López",74.0,76.0,75.0,77.0,73.0,79.0,69.0,71.0,4,4,"Regular"
738,"Javier López Ramírez",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
739,"Carmen Sánchez Martínez",68.0,71.0,70.0,68.0,66.0,73.0,60.0,64.0,5,3,"Deficiente"
740,"Ricardo Fernández Pérez",84.0,87.0,86.0,85.0,84.0,90.0,78.0,81.0,2,5,"Bueno"
741,"Marta López Ramírez",74.0,77.0,76.0,75.0,73.0,79.0,69.0,72.0,4,4,"Regular"
742,"José Manuel García",90.0,93.0,92.0,90.0,88.0,95.0,83.0,87.0,1,6,"Muy Bueno"
743,"Ana Fernández Sánchez",68.0,71.0,69.0,68.0,66.0,74.0,60.0,64.0,5,2,"Deficiente"
744,"Luis González Ramírez",85.0,88.0,87.0,86.0,84.0,90.0,79.0,83.0,2,5,"Bueno"
745,"Gabriela López Fernández",74.0,76.0,75.0,77.0,73.0,79.0,69.0,71.0,4,4,"Regular"
746,"David Ramírez González",92.0,94.0,93.0,92.0,90.0,96.0,85.0,89.0,1,6,"Muy Bueno"
747,"Claudia Fernández López",67.0,69.0,68.0,67.0,66.0,72.0,60.0,62.0,5,3,"Deficiente"
748,"Fernando Sánchez Ramírez",85.0,89.0,88.0,87.0,85.0,91.0,79.0,84.0,2,5,"Bueno"
749,"Patricia López González",74.0,77.0,76.0,75.0,73.0,79.0,69.0,72.0,4,4,"Regular"
750,"Ricardo Martínez Fernández",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
751,"Sofía Ramírez Pérez",68.0,71.0,70.0,69.0,67.0,73.0,60.0,65.0,5,3,"Deficiente"
752,"Javier López González",85.0,88.0,87.0,86.0,84.0,91.0,79.0,84.0,2,5,"Bueno"
753,"Ana María Fernández Ramírez",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
754,"José Luis Ramírez Pérez",92.0,94.0,93.0,91.0,90.0,96.0,85.0,89.0,1,6,"Muy Bueno"
755,"Claudia González Martínez",67.0,69.0,68.0,67.0,66.0,74.0,60.0,62.0,5,2,"Deficiente"
756,"Fernando Ramírez López",85.0,89.0,88.0,87.0,85.0,91.0,79.0,83.0,2,5,"Bueno"
757,"Gabriela Fernández Pérez",74.0,76.0,75.0,77.0,73.0,79.0,69.0,71.0,4,4,"Regular"
758,"David Sánchez Ramírez",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
759,"Natalia Pérez González",68.0,71.0,70.0,69.0,67.0,74.0,60.0,64.0,5,3,"Deficiente"
760,"Luis Ramírez Martínez",85.0,88.0,87.0,86.0,84.0,90.0,79.0,84.0,2,5,"Bueno"
761,"Marta Fernández Ramírez",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
762,"José Miguel López",90.0,93.0,92.0,90.0,88.0,95.0,83.0,87.0,1,6,"Muy Bueno"
763,"Ana Gómez Sánchez",68.0,71.0,69.0,68.0,66.0,74.0,60.0,64.0,5,2,"Deficiente"
764,"Claudia López Ramírez",85.0,89.0,88.0,87.0,85.0,90.0,79.0,84.0,2,5,"Bueno"
765,"Fernando Fernández Pérez",74.0,76.0,75.0,77.0,73.0,79.0,69.0,71.0,4,4,"Regular"
766,"Gabriela Ramírez Martínez",92.0,94.0,93.0,91.0,90.0,96.0,85.0,89.0,1,6,"Muy Bueno"
767,"David Pérez López",67.0,69.0,68.0,66.0,65.0,71.0,60.0,63.0,5,3,"Deficiente"
768,"Ricardo López Fernández",85.0,88.0,87.0,86.0,84.0,90.0,79.0,82.0,2,5,"Bueno"
769,"Sofía Ramírez González",74.0,77.0,76.0,75.0,73.0,79.0,69.0,72.0,4,4,"Regular"
770,"Ana María López Ramírez",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
771,"José Fernando Martínez",68.0,71.0,70.0,69.0,67.0,74.0,60.0,64.0,5,2,"Deficiente"
772,"Gabriela Sánchez Ramírez",85.0,89.0,88.0,87.0,85.0,91.0,79.0,84.0,2,5,"Bueno"
773,"Claudia Ramírez Pérez",74.0,76.0,75.0,77.0,73.0,79.0,69.0,71.0,4,4,"Regular"
774,"David González López",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
775,"Ana Fernández Martínez",67.0,69.0,68.0,66.0,65.0,74.0,60.0,62.0,5,3,"Deficiente"
776,"Luis Miguel Ramírez",85.0,89.0,88.0,87.0,84.0,90.0,79.0,84.0,2,5,"Bueno"
777,"Javier Sánchez Fernández",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
778,"Ricardo Pérez López",90.0,93.0,92.0,90.0,88.0,95.0,83.0,87.0,1,6,"Muy Bueno"
779,"Gabriela Fernández Ramírez",68.0,71.0,69.0,68.0,66.0,74.0,60.0,64.0,5,2,"Deficiente"
780,"Sofía López Ramírez",85.0,89.0,88.0,87.0,85.0,90.0,79.0,84.0,2,5,"Bueno"
781,"Claudia Ramírez González",74.0,76.0,75.0,77.0,73.0,79.0,69.0,71.0,4,4,"Regular"
782,"David López Ramírez",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
783,"Fernando Sánchez Pérez",67.0,69.0,68.0,67.0,66.0,72.0,60.0,62.0,5,3,"Deficiente"
784,"Gabriela Ramírez López",85.0,88.0,87.0,86.0,84.0,90.0,79.0,83.0,2,5,"Bueno"
785,"Ana María González Fernández",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
786,"José Luis Sánchez Ramírez",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
787,"Natalia López Pérez",68.0,71.0,69.0,68.0,66.0,74.0,60.0,64.0,5,2,"Deficiente"
788,"Luis Ramírez Martínez",85.0,89.0,88.0,87.0,84.0,90.0,79.0,84.0,2,5,"Bueno"
789,"Javier Fernández González",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
790,"Ana Ramírez Pérez",92.0,94.0,93.0,91.0,90.0,96.0,85.0,89.0,1,6,"Muy Bueno"
791,"David López Martínez",67.0,69.0,68.0,66.0,65.0,71.0,60.0,62.0,5,3,"Deficiente"
792,"Sofía Ramírez Pérez",85.0,88.0,87.0,86.0,84.0,91.0,79.0,84.0,2,5,"Bueno"
793,"Ricardo Sánchez Ramírez",74.0,76.0,75.0,77.0,73.0,79.0,69.0,71.0,4,4,"Regular"
794,"Gabriela González Fernández",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
795,"Claudia López Ramírez",68.0,71.0,70.0,69.0,67.0,74.0,60.0,64.0,5,2,"Deficiente"
796,"José Ramírez González",85.0,88.0,87.0,86.0,84.0,90.0,79.0,83.0,2,5,"Bueno"
797,"Patricia Fernández Pérez",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
798,"Luis Fernando Sánchez",92.0,94.0,93.0,91.0,90.0,96.0,85.0,89.0,1,6,"Muy Bueno"
799,"Ana López Ramírez",67.0,69.0,68.0,67.0,66.0,71.0,60.0,63.0,5,3,"Deficiente"
800,"Ricardo Pérez Fernández",85.0,89.0,88.0,87.0,85.0,91.0,79.0,84.0,2,5,"Bueno"
801,"Javier González Ramírez",74.0,77.0,76.0,75.0,73.0,79.0,69.0,72.0,4,4,"Regular"
802,"David Fernández Sánchez",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
803,"Carmen Ramírez Martínez",68.0,71.0,70.0,68.0,66.0,74.0,60.0,65.0,5,2,"Deficiente"
804,"José Miguel Ramírez",85.0,89.0,88.0,87.0,84.0,90.0,79.0,84.0,2,5,"Bueno"
805,"Gabriela López Ramírez",74.0,76.0,75.0,77.0,73.0,79.0,69.0,71.0,4,4,"Regular"
806,"Natalia Sánchez González",92.0,94.0,93.0,91.0,90.0,96.0,85.0,89.0,1,6,"Muy Bueno"
807,"Ricardo López Fernández",67.0,69.0,68.0,66.0,65.0,71.0,60.0,62.0,5,3,"Deficiente"
808,"Sofía Ramírez Pérez",85.0,88.0,87.0,86.0,84.0,90.0,79.0,83.0,2,5,"Bueno"
809,"Ana María Fernández Ramírez",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
810,"David González Ramírez",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
811,"Gabriela López Fernández",68.0,71.0,70.0,69.0,67.0,74.0,60.0,64.0,5,2,"Deficiente"
812,"José Luis Martínez Ramírez",85.0,88.0,87.0,86.0,84.0,90.0,79.0,84.0,2,5,"Bueno"
813,"Claudia Sánchez Ramírez",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
814,"Fernando Pérez López",92.0,94.0,93.0,91.0,90.0,96.0,85.0,89.0,1,6,"Muy Bueno"
815,"Sofía Martínez Ramírez",67.0,69.0,68.0,66.0,65.0,74.0,60.0,62.0,5,3,"Deficiente"
816,"Ricardo López Ramírez",85.0,89.0,88.0,87.0,85.0,90.0,79.0,84.0,2,5,"Bueno"
817,"Ana Gómez Fernández",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
818,"José Luis Sánchez Pérez",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
819,"David Fernández Ramírez",68.0,71.0,70.0,69.0,67.0,74.0,60.0,64.0,5,2,"Deficiente"
820,"Gabriela Sánchez Pérez",85.0,88.0,87.0,86.0,84.0,91.0,79.0,83.0,2,5,"Bueno"
821,"Ricardo Ramírez González",74.0,76.0,75.0,77.0,73.0,79.0,69.0,71.0,4,4,"Regular"
822,"Natalia López Ramírez",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
823,"José Fernando González",67.0,69.0,68.0,66.0,65.0,72.0,60.0,62.0,5,3,"Deficiente"
824,"Claudia Ramírez Fernández",85.0,89.0,88.0,87.0,85.0,90.0,79.0,84.0,2,5,"Bueno"
825,"Ana María López González",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
826,"David Ramírez Pérez",92.0,94.0,93.0,91.0,90.0,96.0,85.0,89.0,1,6,"Muy Bueno"
827,"Ricardo López Sánchez",68.0,71.0,70.0,69.0,67.0,74.0,60.0,64.0,5,2,"Deficiente"
828,"Sofía Fernández Ramírez",85.0,88.0,87.0,86.0,84.0,91.0,79.0,84.0,2,5,"Bueno"
829,"Gabriela Sánchez Ramírez",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
830,"José Luis Pérez Ramírez",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
831,"Ana María Fernández Pérez",67.0,69.0,68.0,67.0,66.0,74.0,60.0,62.0,5,3,"Deficiente"
832,"Ricardo Ramírez Martínez",85.0,89.0,88.0,87.0,84.0,90.0,79.0,83.0,2,5,"Bueno"
833,"Sofía Ramírez González",74.0,77.0,76.0,75.0,73.0,79.0,69.0,72.0,4,4,"Regular"
834,"José Miguel Fernández Ramírez",92.0,94.0,93.0,91.0,90.0,96.0,85.0,89.0,1,6,"Muy Bueno"
835,"Ana López Martínez",68.0,71.0,70.0,69.0,67.0,74.0,60.0,65.0,5,3,"Deficiente"
836,"Gabriela López Ramírez",85.0,89.0,88.0,87.0,85.0,90.0,79.0,84.0,2,5,"Bueno"
837,"Ricardo Martínez Ramírez",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
838,"David Fernández Ramírez",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
839,"José Luis Fernández Ramírez",67.0,69.0,68.0,66.0,65.0,71.0,60.0,62.0,5,3,"Deficiente"
840,"Gabriela Ramírez Fernández",85.0,88.0,87.0,86.0,84.0,90.0,79.0,84.0,2,5,"Bueno"
841,"Ana María Ramírez Pérez",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
842,"José Luis Pérez Fernández",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
843,"Ricardo Pérez Ramírez",68.0,71.0,70.0,69.0,67.0,74.0,60.0,62.0,5,2,"Deficiente"
844,"Sofía González Ramírez",85.0,89.0,88.0,87.0,85.0,91.0,79.0,83.0,2,5,"Bueno"
845,"Ana María Fernández Ramírez",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
846,"David Pérez Fernández",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
847,"Gabriela Martínez Fernández",68.0,71.0,70.0,69.0,67.0,74.0,60.0,65.0,5,3,"Deficiente"
848,"José Luis Sánchez Ramírez",85.0,89.0,88.0,87.0,84.0,90.0,79.0,84.0,2,5,"Bueno"
849,"Ricardo Ramírez Pérez",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
850,"Ana Fernández Ramírez",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
851,"José Luis Martínez Fernández",67.0,69.0,68.0,66.0,65.0,74.0,60.0,62.0,5,3,"Deficiente"
852,"Gabriela López Fernández",85.0,88.0,87.0,86.0,84.0,90.0,79.0,84.0,2,5,"Bueno"
853,"Ana María Ramírez Fernández",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
854,"David Ramírez Pérez",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
855,"José Luis Sánchez Pérez",68.0,71.0,70.0,69.0,67.0,74.0,60.0,62.0,5,3,"Deficiente"
856,"Gabriela Fernández Ramírez",85.0,88.0,87.0,86.0,84.0,90.0,79.0,84.0,2,5,"Bueno"
857,"Ana María Fernández Pérez",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
858,"José Luis Martínez Fernández",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
859,"Ricardo Ramírez Pérez",67.0,69.0,68.0,66.0,65.0,72.0,60.0,62.0,5,3,"Deficiente"
860,"Gabriela Sánchez Ramírez",85.0,88.0,87.0,86.0,84.0,90.0,79.0,84.0,2,5,"Bueno"
861,"Ana María Fernández Ramírez",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
862,"José Luis Pérez Fernández",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
863,"Ricardo Ramírez González",68.0,71.0,70.0,69.0,67.0,74.0,60.0,62.0,5,2,"Deficiente"
864,"Gabriela Fernández López",85.0,89.0,88.0,87.0,85.0,90.0,79.0,84.0,2,5,"Bueno"
865,"Ana María Ramírez Fernández",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
866,"José Luis Pérez Ramírez",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
867,"Ricardo Martínez Fernández",67.0,69.0,68.0,66.0,65.0,71.0,60.0,62.0,5,3,"Deficiente"
868,"Gabriela López Fernández",85.0,88.0,87.0,86.0,84.0,90.0,79.0,84.0,2,5,"Bueno"
869,"Ana María Fernández Pérez",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
870,"José Luis Pérez Ramírez",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
871,"Ricardo Ramírez González",68.0,71.0,70.0,69.0,67.0,74.0,60.0,62.0,5,2,"Deficiente"
872,"Gabriela Sánchez Pérez",85.0,88.0,87.0,86.0,84.0,90.0,79.0,84.0,2,5,"Bueno"
873,"Ana María Fernández Ramírez",74.0,77.0,76.0,75.0,73.0,79.0,69.0,71.0,4,4,"Regular"
874,"José Luis Martínez Fernández",91.0,94.0,93.0,92.0,89.0,96.0,84.0,88.0,1,6,"Muy Bueno"
875,"Ricardo Ramírez Pérez",67.0,69.0,68.0,66.0,65.0,74.0,60.0,62.0,5,3,"Deficiente"
